DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10.525
0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,10.044
0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,10.559
0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,21.508
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,10.064
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,7.27
1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,7.926
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.719
0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4.648
0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,10.751
0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,6.536
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18.344
0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,10.758
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,18.467
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11.738
0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,18.246
1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,6.676
1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,4.453
1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,23.307
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.662
0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,3.985
1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,4.844
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,10.612
1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,8.218
0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,10.612
0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3.989
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,18.344
1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,7.265
0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,18.262
1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,7.265
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,4.027
0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,4.017
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,11.149
0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,10.045
0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,3.985
1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,14.647
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,4.844
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.989
1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,6.676
